,Time,Axial_Vibration_G,Torsional_Vibration_RPM,Whirl_Lateral_G
0,0.0,0.12728408712269934,10.0,0.0
1,0.001,0.7633984225518718,10.100000000000001,5.423359053409915e-07
2,0.002,0.21272879997138133,10.200000000000003,1.0893880860564205e-06
3,0.003,0.6002577956325229,10.299999999999997,1.6410715788804942e-06
4,0.004,1.1469217719181792,10.399999999999999,2.1972995869840296e-06
5,0.005,0.8985270715153622,10.5,2.757983484188258e-06
6,0.006,1.6892939510665428,10.600000000000001,3.323032819647985e-06
7,0.007,1.5967872720325564,10.700000000000003,3.89235532300726e-06
8,0.008,1.4653651870423159,10.799999999999997,4.465856910030512e-06
9,0.009000000000000001,1.7085907750315805,10.899999999999999,5.043441688711645e-06
10,0.01,1.6904139159907348,11.0,5.6250119658643e-06
11,0.011,2.1578499094126764,11.100000000000001,6.210468254195507e-06
12,0.012,1.8663338306574004,11.200000000000003,6.79970927986554e-06
13,0.013000000000000001,1.3506572836101356,11.300000000000004,7.392631990536248e-06
14,0.014,0.25625477473245084,11.399999999999999,7.989131563910475e-06
15,0.015,2.0991710410531423,11.5,8.58910141676432e-06
16,0.016,1.1758574815832892,11.600000000000001,9.192433214475285e-06
17,0.017,1.8091877321085579,11.700000000000003,9.799016881047169e-06
18,0.018000000000000002,1.1841341380319022,11.800000000000004,1.0408740609634805e-05
19,0.019,1.0993645741079985,11.899999999999999,1.1021490873570034e-05
20,0.02,1.1245997619924193,12.0,1.1637152437890138e-05
21,0.021,1.1197453379503954,12.100000000000001,1.225560837137174e-05
22,0.022,0.8736862025136861,12.200000000000003,1.2876740059069958e-05
23,0.023,0.016824730025258083,12.300000000000004,1.3500427215365909e-05
24,0.024,0.4306176925650824,12.400000000000006,1.4126547897522768e-05
25,0.025,0.11874606947982774,12.5,1.4754978519752156e-05
26,0.026000000000000002,0.05123259822376336,12.600000000000001,1.5385593867791517e-05
27,0.027,0.210958848402362,12.700000000000003,1.6018267113994313e-05
28,0.028,-0.31820374877870583,12.800000000000004,1.6652869832932484e-05
29,0.029,0.17329315408344043,12.900000000000006,1.7289272017513972e-05
30,0.03,0.20118205392642696,13.0,1.792734209561346e-05
31,0.031,0.7843036325127992,13.099999999999994,1.856694694721911e-05
32,0.032,-0.23687643326075214,13.200000000000003,1.920795192209499e-05
33,0.033,0.23343364364198882,13.300000000000004,1.9850220857958046e-05
34,0.034,0.6163229971992943,13.400000000000006,2.0493616099172393e-05
35,0.035,0.022452195873582215,13.5,2.113799851595873e-05
36,0.036000000000000004,0.42748966904614916,13.600000000000001,2.178322752412027e-05
37,0.037,0.31736564489635594,13.699999999999996,2.2429161105283683e-05
38,0.038,-0.8605284303848451,13.799999999999997,2.3075655827656432e-05
39,0.039,0.7002272737944264,13.899999999999999,2.3722566867297715e-05
40,0.04,0.22039889436366863,14.0,2.436974802990576e-05
41,0.041,-0.6520000662544845,14.100000000000001,2.501705177311634e-05
